,rank,team,value,value_change,debt_percent,revenue,year
600,18,Miami,60,,,,1992
601,19,Atlanta,57,,,,1992
602,20,Milwaukee,56,,,,1992
603,21,L.A. Clippers,54,,,,1992
604,22,Brooklyn,54,,,,1992
605,23,Utah,52,,,,1992
606,24,Denver,46,,,,1992
607,25,Washington,46,,,,1992
608,26,Oklahoma City,45,,,,1992
609,27,Indiana,43,,,,1992
610,1,L.A. Lakers,200,,,,1991
611,2,Boston,180,,,,1991
612,3,Detroit,150,,,,1991
613,4,Chicago,100,,,,1991
614,5,New York,100,,,,1991
615,6,Phoenix,99,,,,1991
616,7,Philadelphia,75,,,,1991
617,8,Cleveland,61,,,,1991
618,9,Orlando,60,,,,1991
619,10,Portland,59,,,,1991
620,11,New Orleans,59,,,,1991
621,12,Miami,58,,,,1991
622,13,Houston,58,,,,1991
623,14,Dallas,54,,,,1991
624,15,Atlanta,53,,,,1991
625,16,Milwaukee,53,,,,1991
626,17,Minnesota,51,,,,1991
627,18,Golden State,50,,,,1991
628,19,Sacramento,49,,,,1991
629,20,San Antonio,46,,,,1991
630,21,Utah,44,,,,1991
631,22,L.A. Clippers,42,,,,1991
632,23,Brooklyn,42,,,,1991
633,24,Denver,40,,,,1991
634,25,Washington,37,,,,1991
635,26,Oklahoma City,37,,,,1991
636,27,Indiana,33,,,,1991
