,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,Year,HomeYear,AwayYear,LeagueYear,B365J,B365HNorm,B365DNorm,B365ANorm,Favored,Unfavored,Homepts,Awaypts,FavStreak,UnfavStreak
0,E0,19/08/06,Arsenal,Aston Villa,1,1,0.78125,0.2222222222222222,0.07692307692307693,0607,Arsenal0607,Aston Villa0607,E00607,0.08039529914529919,0.723114956736712,0.2056860321384425,0.07119901112484549,Arsenal,Aston Villa,1,1,0,0
1,E0,19/08/06,Bolton,Tottenham,2,0,0.38167938931297707,0.3125,0.3846153846153846,0607,Bolton0607,Tottenham0607,E00607,0.07879477392836165,0.3538016669501616,0.28967511481544483,0.3565232182343936,Tottenham,Bolton,3,0,0,0
2,E0,19/08/06,Everton,Watford,2,1,0.6024096385542169,0.29411764705882354,0.18181818181818182,0607,Everton0607,Watford0607,E00607,0.07834546743122228,0.558642528529605,0.2727489992232778,0.16860847224711717,Everton,Watford,3,0,0,0
3,E0,19/08/06,Newcastle,Wigan,2,1,0.5813953488372093,0.2857142857142857,0.21052631578947367,0607,Newcastle0607,Wigan0607,E00607,0.0776359503409687,0.5395099789063768,0.26513061820541944,0.19535940288820378,Newcastle,Wigan,3,0,0,0
4,E0,19/08/06,Portsmouth,Blackburn,3,0,0.4347826086956522,0.3225806451612903,0.3225806451612903,0607,Portsmouth0607,Blackburn0607,E00607,0.07994389901823284,0.4025974025974026,0.2987012987012987,0.2987012987012987,Portsmouth,Blackburn,3,0,0,0
5,E0,19/08/06,Reading,Middlesbrough,3,2,0.4,0.3225806451612903,0.35714285714285715,0607,Reading0607,Middlesbrough0607,E00607,0.0797235023041476,0.37046521553563805,0.29876227059325644,0.3307725138711054,Reading,Middlesbrough,3,0,0,0
6,E0,19/08/06,Sheffield United,Liverpool,1,1,0.16666666666666666,0.2631578947368421,0.6535947712418301,0607,Sheffield United0607,Liverpool0607,E00607,0.08341933264533896,0.15383394189553895,0.24289569772979833,0.6032703603746626,Liverpool,Sheffield United,1,1,0,0
7,E0,19/08/06,West Ham,Charlton,3,1,0.5,0.3125,0.26666666666666666,0607,West Ham0607,Charlton0607,E00607,0.07916666666666661,0.46332046332046334,0.2895752895752896,0.2471042471042471,West Ham,Charlton,3,0,0,0
8,E0,20/08/06,Chelsea,Man City,3,0,0.819672131147541,0.18181818181818182,0.07692307692307693,0607,Chelsea0607,Man City0607,E00607,0.07841338988879976,0.7600722865950887,0.1685978526629106,0.07132986074200064,Chelsea,Man City,3,0,0,0
9,E0,20/08/06,Man United,Fulham,5,1,0.819672131147541,0.18181818181818182,0.07692307692307693,0607,Man United0607,Fulham0607,E00607,0.07841338988879976,0.7600722865950887,0.1685978526629106,0.07132986074200064,Man United,Fulham,3,0,0,0
